"순서","왕명","즉위년도","퇴위년도","즉위나이","재위기간","왕비","후궁","왕자","왕녀","출생년도","사망년도","수명"
"1대","태조",1392,1398,57,7,2,4,8,5,1335,1408,73
"2대","정종",1398,1400,42,2,1,11,17,8,1357,1419,62
"3대","태종",1401,1418,34,18,1,19,12,17,1367,1422,55
"4대","세종",1418,1450,22,32,1,9,18,4,1397,1450,53
"5대","문종",1450,1452,37,2,1,9,1,2,1414,1452,38
"6대","단종",1452,1455,12,3,1,2,0,0,1441,1457,16
"7대","세조",1455,1468,39,13,1,3,4,1,1417,1468,51
"8대","예종",1468,1469,19,1,2,2,2,1,1450,1469,19
"9대","성종",1470,1494,13,23,3,14,16,12,1457,1494,37
"10대","연산군",1494,1506,19,11,1,3,4,2,1476,1506,30
"11대","중종",1506,1544,18,39,3,9,9,11,1488,1544,56
"12대","인종",1544,1545,30,1,1,4,0,0,1515,1545,30
"13대","명종",1545,1567,12,22,1,6,1,0,1534,1567,33
"14대","선조",1567,1608,16,41,2,8,14,11,1552,1608,56
"15대","광해군",1608,1623,34,15,1,1,1,1,1575,1641,66
"16대","인조",1623,1649,28,27,2,4,6,1,1595,1649,54
"17대","효종",1649,1659,31,10,1,1,1,7,1619,1659,40
"18대","현종",1659,1674,19,15,1,NA,1,3,1641,1674,33
"19대","숙종",1674,1720,14,46,3,6,6,2,1661,1720,59
"20대","경종",1720,1724,33,4,2,NA,0,0,1688,1724,36
"21대","영조",1724,1776,31,52,2,4,2,11,1694,1776,82
"22대","정조",1776,1800,25,24,1,4,2,3,1752,1800,48
"23대","순조",1800,1834,11,35,1,1,1,5,1790,1834,44
"24대","헌종",1834,1849,7,15,2,2,0,1,1827,1849,22
"25대","철종",1849,1863,19,14,1,5,5,1,1831,1863,32
"26대","고종",1863,1907,11,43,1,9,6,1,1852,1919,67
"27대","순종",1907,1910,33,3,2,NA,0,0,1874,1926,52
