순서,왕명,즉위연도,퇴위연도,출생연도,사망연도,사망원인,수명 
1대,태조,918,943,877,943,병사,66
2대,혜종,943,945,912,945,,33
3대,정종,945,949,923,949,병사,26
4대,광종,949,975,925,975,병사,50
5대,경종,975,981,955,981,병사,26
6대,성종,981,997,961,997,병사,36
7대,목종,997,1009,980,1009,피살,29
8대,현종,1009,1031,992,1031,,39
9대,덕종,1031,1034,1016,1034,,18
10대,정종,1034,1046,1018,1046,병사,28
11대,문종,1046,1083,1019,1083,,64
12대,순종,1083,1083,1047,1083,병사,36
13대,선종,1083,1094,1049,1094,병사,45
14대,헌종,1094,1095,1084,1097,,13
15대,숙종,1095,1105,1054,1105,병사,51
16대,예종,1105,1122,1079,1122,병사,43
17대,인종,1122,1146,1109,1146,병사,37
18대,의종,1146,1170,1127,1173,피살,46
19대,명종,1170,1197,1131,1202,병사,71
20대,신종,1197,1204,1144,1204,병사,60
21대,희종,1204,1211,1181,1237,,56
22대,강종,1211,1213,1152,1213,,61
23대,고종,1213,1259,1192,1259,,67
24대,원종,1259,1274,1219,1274,,55
25대,충렬왕,1274,1298,1236,1308,,72
26대,충선왕,1298,1313,1275,1325,,50
27대,충숙왕,1313,1330,1294,1339,,45
28대,충혜왕,1330,1344,1315,1344,,29
29대,충목왕,1344,1348,1337,1348,,11
30대,충정왕,1348,1351,1338,1352,피살,14
31대,공민왕,1351,1374,1330,1374,피살,44
32대,우왕,1374,1388,1365,1389,피살,24
33대,창왕,1388,1389,1380,1389,피살,9
34대,공양왕,1389,1392,1345,1394,피살,49
