Id,BirthYear,DeathYear,Age,Group
진안대군,1354,1393,39,Prince
익안대군,1360,1404,44,Prince
회안대군,1364,1421,57,Prince
무안대군,1381,1398,17,Prince
의안대군,1382,1398,16,Prince
종의군,1393,1451,58,Prince
양녕대군,1394,1462,68,Prince
경녕군,1395,1458,63,Prince
효령대군,1396,1486,90,Prince
덕천군,1397,1465,68,Prince
석보군,1399,1447,48,Prince
임언군,1399,1432,33,Prince
도평군,1402,1439,37,Prince
성녕대군,1405,1418,13,Prince
진남군,1406,1470,64,Prince
온녕군,1407,1453,46,Prince
혜령군,1407,1440,33,Prince
정석군,1409,1464,55,Prince
무림군,1410,1474,64,Prince
근녕군,1411,1462,51,Prince
안평대군,1418,1453,35,Prince
임영대군,1419,1469,50,Prince
익녕군,1422,1464,42,Prince
광평대군,1425,1444,19,Prince
화의군,1425,1460,35,Prince
금성대군,1426,1457,31,Prince
계양군,1427,1464,37,Prince
평원대군,1427,1445,18,Prince
한남군,1429,1459,30,Prince
수춘군,1430,1457,27,Prince
익현군,1431,1463,32,Prince
영응대군,1434,1467,33,Prince
영풍군,1434,1456,22,Prince
영해군,1435,1477,42,Prince
조선덕종,1438,1457,19,Prince
덕원군,1449,1498,49,Prince
월산대군,1454,1488,34,Prince
창원군,1458,1484,26,Prince
인성대군,1461,1463,2,Prince
제안대군,1466,1525,59,Prince
계성군,1478,1504,26,Prince
완원군,1480,1509,29,Prince
회산군,1481,1512,31,Prince
견성군(성종),1482,1507,25,Prince
봉안군,1482,1505,23,Prince
익양군,1488,1552,64,Prince
경명군,1489,1526,37,Prince
이성군,1489,1552,63,Prince
무산군,1490,1525,35,Prince
영산군,1490,1538,48,Prince
운천군,1490,1524,34,Prince
전성군,1490,1505,15,Prince
양원군,1492,1551,59,Prince
복성군,1509,1533,24,Prince
영양군,1521,1561,40,Prince
덕흥대원군,1530,1559,29,Prince
의안군,1577,1588,11,Prince
신성군,1578,1592,14,Prince
순화군,1580,1607,27,Prince
조선원종,1580,1619,39,Prince
의창군,1589,1654,65,Prince
흥안군,1598,1624,26,Prince
영창대군,1606,1614,8,Prince
인평대군,1622,1658,36,Prince
용성대군,1625,1629,4,Prince
숭선군,1639,1690,51,Prince
연령군,1699,1719,20,Prince
은언군,1755,1801,46,Prince
은신군,1756,1771,15,Prince
완친왕,1868,1880,12,Prince
의친왕,1877,1955,78,Prince
의민태자,1897,1970,73,Prince
